START_TIME,STOP_TIME,POSTURE,PA_TYPE,HIGH_LEVEL_BEHAVIOR,CONTEXTUAL_PARAMETERS,EXPERIMENTAL_SITUATION,ADDITIONAL_NOTES
2022-05-19 14:03:10.512,2022-05-19 14:07:25.487,In_Position_Upright,Treadmill_3mph_Free_Walk_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:07:25.487,2022-05-19 14:11:43.450,In_Position_Upright,Treadmill_3mph_Drink_Lab,,Located_Indoors|Holding_Drink,Lab_Indoors,
2022-05-19 14:11:45.450,2022-05-19 14:16:22.412,In_Position_Upright,Treadmill_3mph_Briefcase_Lab,,Located_Indoors|Holding_Bag/Briefcase_Hand_Light,Lab_Indoors,
2022-05-19 14:16:22.412,2022-05-19 14:20:41.387,In_Position_Upright,Treadmill_4mph_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:20:41.387,2022-05-19 14:25:45.350,In_Position_Upright,Treadmill_5.5mph_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:25:45.350,2022-05-19 14:27:59.337,In_Position_Upright,Standing_With_Movement,,Located_Indoors|Holding_Drink,Lab_Indoors,
2022-05-19 14:27:59.337,2022-05-19 14:30:13.312,In_Position_Upright,Treadmill_3mph_Conversation_Lab,,Located_Indoors|In_Conversation,Lab_Indoors,
2022-05-19 14:30:13.312,2022-05-19 14:33:04.300,In_Position_Upright,Treadmill_3mph_Phone_Lab,,Located_Indoors|Holding_Other_Object_Light|On_Phone_Call,Lab_Indoors,
2022-05-19 14:33:12.300,2022-05-19 14:33:28.300,In_Position_Upright,Walking_Slow,,Located_Indoors|Holding_Drink,Lab_Indoors,
2022-05-19 14:33:28.300,2022-05-19 14:33:44.287,In_Position_Upright,Walking_Slow,,Located_Indoors,Lab_Indoors,
2022-05-19 14:33:46.287,2022-05-19 14:34:02.287,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:34:03.287,2022-05-19 14:35:01.287,In_Position_Upright,Stand_Shelf_Unload_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:35:02.287,2022-05-19 14:35:58.275,In_Position_Upright,Stand_Shelf_Load_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:36:08.275,2022-05-19 14:36:21.275,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:36:21.275,2022-05-19 14:38:18.262,In_Position_Upright,Organizing_Shelf/Cabinet,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:38:20.262,2022-05-19 14:38:41.262,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:38:42.262,2022-05-19 14:40:58.237,In_Position_Upright,Sweeping,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:41:00.237,2022-05-19 14:41:12.237,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:41:14.237,2022-05-19 14:43:25.225,In_Position_Upright,Vacuuming,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:43:27.225,2022-05-19 14:43:36.225,In_Position_Upright,Walking_Slow,,Located_Indoors,Lab_Indoors,
2022-05-19 14:43:36.225,2022-05-19 14:43:44.225,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:43:45.225,2022-05-19 14:46:00.200,In_Position_Upright,Chopping_Food_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:46:02.200,2022-05-19 14:46:15.200,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 14:46:17.200,2022-05-19 14:49:33.175,In_Position_Upright,Washing_Dishes_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 14:49:34.175,2022-05-19 14:49:49.175,In_Position_Upright,Walking_Slow,,Located_Indoors,Lab_Indoors,
2022-05-19 14:49:54.175,2022-05-19 14:52:05.162,Lying_On_Left_Side,Lying_On_Left_Side_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:52:05.162,2022-05-19 14:54:46.137,Lying_On_Stomach,Lying_On_Stomach_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:54:46.137,2022-05-19 14:56:47.125,Lying_On_Right_Side,Lying_On_Right_Side_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:56:54.125,2022-05-19 14:57:03.125,In_Position_Upright,Walking,,Located_Indoors,Lab_Indoors,
2022-05-19 14:57:07.125,2022-05-19 14:59:43.100,In_Position_Reclining/Slouching,Sit_Recline_Talk_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 14:59:43.100,2022-05-19 15:02:01.087,In_Position_Upright,Stand_Conversation_Lab,,Located_Indoors|In_Conversation,Lab_Indoors,
2022-05-19 15:02:09.087,2022-05-19 15:04:18.075,In_Position_Sitting,Sit_Recline_Web_Browse_Lab,,Located_Indoors|Texting/Browsing_Phone|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 15:04:24.075,2022-05-19 15:06:38.050,In_Position_Sitting,Sit_Writing_Lab,,Located_Indoors|Holding_Other_Object_Light|Handwriting,Lab_Indoors,
2022-05-19 15:06:42.050,2022-05-19 15:06:57.050,In_Position_Upright,Arm_Curls_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 15:06:57.050,2022-05-19 15:07:26.050,In_Position_Upright,Standing_With_Movement,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 15:07:26.050,2022-05-19 15:07:43.050,In_Position_Upright,Arm_Curls_Lab,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 15:07:56.050,2022-05-19 15:08:10.050,Posture_Other,Push_Up_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:08:10.050,2022-05-19 15:08:41.037,In_Position_Kneeling,Kneeling_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:08:41.037,2022-05-19 15:08:52.037,Posture_Other,Push_Up_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:09:04.037,2022-05-19 15:09:30.037,Lying_On_Back,Ab_Crunches_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:09:30.037,2022-05-19 15:10:00.037,Lying_On_Back,Lying_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:10:00.037,2022-05-19 15:10:16.025,Lying_On_Back,Ab_Crunches_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:10:22.025,2022-05-19 15:10:33.025,In_Position_Upright,Walking,,Located_Indoors,Lab_Indoors,
2022-05-19 15:10:40.025,2022-05-19 15:10:57.025,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:11:05.025,2022-05-19 15:11:25.025,In_Position_Sitting,Machine_Leg_Press_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:11:25.025,2022-05-19 15:11:57.012,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:11:57.012,2022-05-19 15:12:20.012,In_Position_Sitting,Machine_Leg_Press_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:13:08.012,2022-05-19 15:13:42.000,In_Position_Sitting,Machine_Chest_Press_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:13:42.000,2022-05-19 15:14:11.000,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:14:11.000,2022-05-19 15:14:34.000,In_Position_Sitting,Machine_Chest_Press_Lab,,Located_Indoors,Lab_Indoors,
2022-05-19 15:14:34.000,2022-05-19 15:14:54.000,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Lab_Indoors,
2022-05-19 15:14:58.000,2022-05-19 15:15:12.000,Posture_Video_Unavailable/Indecipherable,PA_Type_Video_Unavailable/Indecipherable,,Located_Indoors,Lab_Indoors,
2022-05-19 15:15:14.000,2022-05-19 15:15:24.987,In_Position_Upright,Standing_With_Movement,,Located_Indoors|Holding_Other_Object_Light,Lab_Indoors,
2022-05-19 15:15:36.987,2022-05-19 15:15:49.987,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light,Free_Living,
2022-05-19 15:15:49.987,2022-05-19 15:16:48.987,In_Position_Upright,Walking_Down_Stairs,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light,Free_Living,
2022-05-19 15:16:48.987,2022-05-19 15:16:56.987,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light,Free_Living,
2022-05-19 15:17:06.975,2022-05-19 15:19:37.962,In_Position_Upright,Walking,In_Transit_Active,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:19:37.962,2022-05-19 15:19:59.962,In_Position_Upright,Standing_With_Movement,In_Transit_Active|Riding_Escalator_Up,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:19:59.962,2022-05-19 15:20:33.950,In_Position_Upright,Walking,In_Transit_Active,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:20:33.950,2022-05-19 15:20:51.950,In_Position_Upright,Walking_Down_Stairs,In_Transit_Active,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:20:51.950,2022-05-19 15:21:02.950,In_Position_Upright,Walking,In_Transit_Active,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:21:03.950,2022-05-19 15:21:40.950,In_Position_Upright,Standing_With_Movement,In_Transit_Active,Located_Outdoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:21:47.950,2022-05-19 15:23:21.937,In_Position_Upright,Standing_With_Movement,In_Transit_Passive_Train/Bus/Plane,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:23:25.937,2022-05-19 15:24:37.925,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:24:37.925,2022-05-19 15:24:53.925,In_Position_Upright,Walking_Up_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:24:53.925,2022-05-19 15:25:08.925,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:25:08.925,2022-05-19 15:25:18.925,In_Position_Upright,Walking_Down_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:25:18.925,2022-05-19 15:25:51.912,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:25:51.912,2022-05-19 15:26:47.912,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:26:47.912,2022-05-19 15:28:59.900,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors|On_Phone_Call,Free_Living,
2022-05-19 15:28:59.900,2022-05-19 15:29:05.900,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|On_Phone_Call|Located_Indoors,Free_Living,
2022-05-19 15:29:05.900,2022-05-19 15:29:14.887,In_Position_Upright,Walking_Down_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:29:14.887,2022-05-19 15:29:38.887,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:29:38.887,2022-05-19 15:31:55.875,In_Position_Upright,Standing_With_Movement,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:31:55.875,2022-05-19 15:33:48.862,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:33:48.862,2022-05-19 15:34:02.862,In_Position_Upright,Walking_Up_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:34:02.862,2022-05-19 15:34:31.850,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:34:31.850,2022-05-19 15:37:02.837,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors,Free_Living,
2022-05-19 15:37:02.837,2022-05-19 15:40:36.812,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors|Texting/Browsing_Phone,Free_Living,
2022-05-19 15:40:36.812,2022-05-19 15:42:58.800,In_Position_Sitting,Sitting_With_Movement,,Located_Indoors|Holding_Book/Reader,Free_Living,
2022-05-19 15:43:06.800,2022-05-19 15:43:15.787,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:43:20.787,2022-05-19 15:43:27.787,In_Position_Upright,Walking_Down_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:43:27.787,2022-05-19 15:44:01.787,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:44:01.787,2022-05-19 15:44:05.787,In_Position_Upright,Walking_Up_Stairs,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:44:05.787,2022-05-19 15:47:33.762,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:47:36.762,2022-05-19 15:49:44.750,In_Position_Upright,Walking,Shopping_Grocery,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:49:44.750,2022-05-19 15:54:57.712,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:54:57.712,2022-05-19 15:56:07.700,In_Position_Upright,Standing_With_Movement,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:56:07.700,2022-05-19 15:56:59.700,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Outdoors,Free_Living,
2022-05-19 15:56:59.700,2022-05-19 15:57:11.687,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors,Free_Living,
2022-05-19 15:57:11.687,2022-05-19 15:57:25.687,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:57:25.687,2022-05-19 15:58:40.687,In_Position_Upright,Walking_Up_Stairs,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:58:40.687,2022-05-19 15:58:51.675,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors|Carrying_Grocery_Bags_Light|Holding_Other_Object_Light,Free_Living,
2022-05-19 15:58:51.675,2022-05-19 15:59:19.675,In_Position_Upright,Walking,In_Transit_Active,Holding_Other_Object_Light|Located_Indoors|Carrying_Grocery_Bags_Light,Free_Living,
2022-05-19 15:59:37.675,2022-05-19 15:59:59.675,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors,Free_Living,
2022-05-19 16:00:01.675,2022-05-19 16:00:12.675,In_Position_Upright,Standing_With_Movement,,Located_Indoors,Free_Living,
2022-05-19 16:00:12.675,2022-05-19 16:00:23.675,In_Position_Upright,Standing_With_Movement,In_Transit_Active,Located_Indoors,Free_Living,
2022-05-19 16:00:23.675,2022-05-19 16:00:49.662,In_Position_Upright,Standing_With_Movement,In_Transit_Active|Riding_Elevator_Down,Located_Indoors,Free_Living,
2022-05-19 16:00:49.662,2022-05-19 16:01:11.662,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors,Free_Living,
2022-05-19 16:01:11.662,2022-05-19 16:03:15.650,In_Position_Upright,Walking,In_Transit_Active,Located_Outdoors,Free_Living,
2022-05-19 16:03:15.650,2022-05-19 16:04:59.637,In_Position_Upright,Standing_With_Movement,In_Transit_Active,Located_Outdoors,Free_Living,
2022-05-19 16:04:59.637,2022-05-19 16:06:51.625,In_Position_Sitting,Cycling_Active_Pedaling_Regular_Bicycle,Cycling_Regular_Bicycle,Located_Outdoors,Free_Living,
2022-05-19 16:06:51.625,2022-05-19 16:07:02.625,In_Position_Upright,Standing_With_Movement,,Located_Outdoors,Free_Living,
2022-05-19 16:07:03.625,2022-05-19 16:07:14.625,In_Position_Upright,Walking,,Located_Outdoors,Free_Living,
2022-05-19 16:07:16.625,2022-05-19 16:09:25.600,In_Position_Upright,Playing_Frisbee,Playing_Sports/Games,Located_Outdoors,Free_Living,
2022-05-19 16:09:25.600,2022-05-19 16:11:14.587,In_Position_Upright,Walking,In_Transit_Active,Located_Outdoors,Free_Living,
2022-05-19 16:11:14.587,2022-05-19 16:12:10.587,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors,Free_Living,
2022-05-19 16:12:10.587,2022-05-19 16:12:31.587,In_Position_Upright,Standing_With_Movement,In_Transit_Active|Riding_Elevator_Up,Located_Indoors,Free_Living,
2022-05-19 16:12:31.587,2022-05-19 16:13:01.575,In_Position_Upright,Walking,In_Transit_Active,Located_Indoors,Free_Living,
